id	final_value	cash	REP04	DEM04	REP04_L52	REP04_G52	DEM04_L52	DEM04_G52
Landon	14467.43300000018	26818.43300000018	-14045	-14065	-12351	-12263	-11352	-11108
Mila	9619.902000000031	10307.902000000031	-9147	-8823	-688	-1511	347	-1260
Juan	8533.550999999992	10389.550999999992	-7279	-5837	-1856	-2784	-5008	-4994
Sage F	7378.832000000008	7441.832000000008	-7360	-7382	-63	-66	-62	-67
Owen	6960.328999999999	7912.328999999999	-6783	-7040	-952	-934	-995	-989
Elle	3105.822000000022	6727.822000000022	-3000	-3252	-3622	-2881	-3508	-3529
John	2670.889000000007	2591.889000000007	-2587	-2845	79	-187	28	26
Blakely	2660.9810000000007	2655.9810000000007	-2578	-2655	5	-79	3	-1
Ellie	2660.55500000001	2597.55500000001	-2608	-2632	63	-267	-74	-76
Olivia	2065.872000000003	2339.872000000003	-1118	-474	-274	-3679	-4186	-4294
Corey	1878.628000000002	1480.628000000002	-819	2600	398	-1620	-4423	-5038
Dalton	1468.6129999999996	-501.3870000000004	0	0	1970	0	-1	0
Parker M	1465.791999999999	-651.208000000001	6	5	2117	-478	-488	-485
Oakley F	1451.0769999999966	2613.0769999999966	-1941	-783	-1162	-1171	-459	-2342
Legend	1435.6299999999992	1435.6299999999992	-1938	-743	0	0	398	-1191
Ellis M	1248.8249999999998	-502.1750000000002	0	0	1751	0	3	0
Kayla	1210.173	1244.173	-1212	-832	-34	-33	-407	-411
Camilla	1188.3360000000002	1189.3360000000002	-1689	-568	-1	-1	0	-4
James	1164.5499999999995	919.5499999999995	-1047	-896	245	237	-236	-245
Jared	1137.8660000000002	1141.8660000000002	0	0	-4	-2	0	0
Kamari M	1111.797	-500.203	0	0	1612	0	0	0
Case	1028.719	-471.28099999999984	0	0	1500	3094	319	0
Aylin	1025.896	-500.10400000000004	0	0	1526	0	0	0
Noa	998.2659999999998	-418.7340000000002	0	0	1417	5	16	0
Jayceon	954.223	-183.77700000000004	0	0	1138	-243	-237	-245
Anna	950.7530000000004	455.7530000000004	270	0	495	-267	2	0
Lorelai	936.0679999999988	-437.9320000000012	-723	-715	1374	1227	1315	1289
Cameron F	887.1060000000014	546.1060000000014	-890	-615	341	-131	964	-330
Maia	880.871	-46.12900000000006	207	-36	927	-681	-425	-426
Samara	859.8480000000004	-496.15199999999965	940	0	1356	-943	-1	0
Cooper	855.2370000000003	914.2370000000003	-941	-897	-59	-53	101	-103
Peyton	763.5060000000021	5148.506000000002	-71	-69	-4385	-6991	-7022	-7014
Zaire	757.2230000000004	131.22300000000038	-677	-687	626	346	369	367
Melody	753.338	-312.662	0	0	1066	-256	-101	-104
Nevaeh	730.6119999999999	-396.3880000000002	766	0	1127	-764	0	0
Edgar	716.2189999999998	-498.7810000000001	917	0	1215	-920	0	0
Andre	712.5919999999996	1327.5919999999996	-671	-54	-615	-659	-1263	-1258
Philip	696.1170000000004	-494.8829999999996	0	0	1191	-9	0	0
Mabel	687.8060000000003	-491.1939999999998	0	0	1179	152	202	0
Ronin	663.3190000000001	-489.6809999999999	0	0	1153	598	0	0
Celeste	656.9879999999999	-192.01200000000003	0	0	849	0	0	0
Sophia	646.5469999999995	698.5469999999995	-403	-833	-52	-32	-72	-67
Wesley	643.8879999999999	6.887999999999882	0	929	637	427	-936	-940
Bruce	617.8029999999994	2946.8029999999994	-392	-478	-2329	-2802	-2741	-2742
Scarlet	600.406	-411.59400000000005	0	0	1012	506	0	0
Wyatt	553.9999999999999	553.9999999999999	-1055	13	0	0	0	0
Clayton	542.6660000000004	-503.33399999999966	0	0	1046	908	0	0
Leland	535.0250000000001	2.0250000000000785	0	0	533	178	-502	-499
Dominick	531.6990000000001	372.699	0	0	159	1320	-8	1
Princeton	525.926	-497.07399999999996	0	0	1023	196	395	100
Ariel M	518.8569999999999	-502.14300000000014	0	0	1021	501	496	-14
Amora	502.62499999999994	-495.37500000000006	0	0	998	554	0	0
Francis	483.8909999999999	-236.1090000000001	0	0	720	0	0	0
Maren	472.74299999999994	-400.25700000000006	0	0	873	510	0	0
Brian	450.19200000000006	419.19200000000006	0	-917	31	-351	0	0
Maximilian	440.38300000000015	-147.61699999999988	-90	-100	588	129	98	-174
Remington F	427.3829999999999	-500.6170000000001	0	0	928	0	10	0
Weston	422.79999999999984	425.79999999999984	0	0	-3	798	0	0
Leonidas	412.03199999999987	-481.96800000000013	0	0	894	-3	0	0
Nylah	408.669	296.669	0	0	112	4	0	0
Antonio	405.8060000000006	-544.1939999999994	0	0	950	-14	-1	-1
Benson	404.2439999999998	888.2439999999998	-487	-1417	-484	-924	405	0
Jaxson	395.14099999999974	724.1409999999997	-493	-227	-329	-326	-596	-596
Blair	382.7650000000001	-505.2349999999999	0	0	888	661	-1	4
Kasen	367.347	-280.653	0	0	648	-187	-192	-191
Sterling	364.7439999999997	-500.2560000000003	0	0	865	832	-1	-6
Enzo	354.07100000000025	-296.92899999999975	496	-250	651	-737	0	0
Nehemiah	342.7480000000002	295.7480000000002	0	0	47	28	-771	-771
Jett	333.9689999999999	-243.03100000000012	0	502	577	526	-725	-727
Gabriel	318.42900000000054	-878.5709999999995	-136	-123	1197	1250	913	924
Emersyn	313.86500000000046	315.86500000000046	-819	244	-2	0	-556	1460
Matilda	308.906	-421.094	0	0	730	719	0	0
Cairo	308.7269999999998	308.7269999999998	0	0	0	712	399	0
Orion	303.47700000000015	-500.52299999999985	0	0	804	721	0	0
Julian	300.692	108.69200000000001	83	-229	192	190	509	507
Quentin	295.505	33.50500000000001	-130	110	262	-55	-301	-297
Titus	289.177	301.177	0	0	-12	-11	-12	-9
Dylan F	288.19799999999964	665.1979999999996	-297	-99	-377	-394	-158	-592
Major	281.267	-503.733	0	0	785	593	-1	-3
Damian	276.54100000000005	477.54100000000005	-25	-774	-201	-692	98	146
Jamison	266.41099999999994	-311.58900000000006	0	0	578	496	0	0
Alexander	261.90700000000004	260.90700000000004	0	-502	1	0	499	501
Ryland	259.225	128.22500000000002	-120	-234	131	191	-320	-323
Aaliyah	258.033	258.033	-317	-181	0	0	0	0
Winter	255.46699999999987	120.46699999999987	30	102	135	-381	-428	-453
Skyler M	254.74099999999999	-532.259	0	-3	787	0	0	0
Carter F	254.4380000000021	325.4380000000021	-238	-236	-71	-70	-61	-67
Rory M	252.6570000000001	-497.3429999999999	0	0	750	763	0	0
Ryan M	249.827	-1434.173	-23	-240	1684	1747	1836	2105
Xander	244.12000000000353	3835.1200000000035	-71	-281	-3591	-3639	-3781	-3754
Lily	243.781	78.781	-131	-27	165	-138	93	-91
Kaleb	242.99899999999343	-3616.0010000000066	-209	-174	3859	3765	3729	3736
Nolan	240.88600000000002	240.88600000000002	91	-707	0	0	0	0
Sarah	232.82600000000002	237.82600000000002	0	0	-5	1006	0	0
Maci	232.106	-272.894	0	0	505	501	0	0
Allie	230.38099999999977	-255.61900000000023	0	0	486	519	494	-7
Madelyn	226.34099999999998	110.34099999999998	179	0	116	-184	1	0
Maria	226.06599999999997	-28.93400000000001	156	-160	255	-329	-2	0
Alanna	225.61399999999998	-184.38600000000002	0	0	410	216	0	0
Esther	225.4989999999998	-633.5010000000002	0	0	859	3	0	0
Alivia	218.0730000000001	481.0730000000001	-355	229	-263	2669	-412	-903
Ada	217.192	-444.808	885	0	662	-880	0	0
Elisa	216.29799999999994	219.29799999999994	0	0	-3	-1	-5	0
Soren	216.09699999999995	225.09699999999995	-211	-214	-9	-19	-20	-17
Jada	213.1759999999999	213.1759999999999	-386	5	0	0	0	0
Amanda	212.599	-289.401	0	0	502	0	-1	-1
Reed	208.5870000000001	-344.4129999999999	0	0	553	650	0	0
Kendra	207.38100000000009	657.3810000000001	-187	-181	-450	-471	-499	-494
Diego	204.2960000000001	204.2960000000001	-201	-195	0	0	0	0
Collins	204.07399999999998	138.07399999999998	0	0	66	1093	-639	-636
Willa	197.92599999999982	-504.0740000000002	0	0	702	4	581	0
Alejandra	197.1879999999997	-471.8120000000003	0	469	669	674	36	-477
Cohen	192.54399999999995	-211.45600000000005	207	65	404	10	-43	-78
Skyler F	189.22299999999996	-252.77700000000004	0	0	442	386	0	1
River M	184.352	188.352	140	-510	-4	-46	0	0
Juliette	182.645	-137.355	31	0	320	203	0	0
Gianni	179.68999999999988	-396.3100000000001	0	0	576	4	-7	0
Monroe	179.498	-121.50200000000002	0	0	301	0	101	0
Amari M	177.81500000000008	177.81500000000008	-671	324	0	0	0	0
Danny	177.08999999999997	177.08999999999997	-175	-172	0	0	0	0
Rory F	173.89199999999997	167.89199999999997	0	0	6	51	-6	0
Amber	172.51700000000002	-119.48299999999998	31	0	292	69	-3	0
Fatima	170.672	-69.328	0	0	240	0	0	0
Stella	168.3290000000001	168.3290000000001	0	0	0	0	99	0
Bennett	165.82400000000052	167.82400000000052	-176	-168	-2	-74	-73	-67
